x,y,FCO2
730497,4720403,46.257
729023,4719322,46.259
729925,4719275,46.429
730336,4721041,46.606
730441,4719915,46.766
730494,4718531,46.822
730051,4721116,47.044
731814,4720733,47.1
729657,4720320,47.246
729961,4719558,47.343
730916,4718581,47.475
729710,4720485,47.517
731936,4720517,47.927
730991,4721178,48.122
732009,4720657,48.212
730616,4720423,48.226
730091,4720903,48.306
730272,4720307,48.525
731035,4721039,49.081
731906,4721986,49.347
730602,4719498,49.491
730716,4719479,49.568
731527,4722047,49.568
728760,4718493,49.578
730193,4719360,49.728
729055,4719403,49.749
729154,4719196,49.992
729592,4718639,50.305
729809,4719636,50.34
730576,4720495,50.447
730857,4720255,50.458
730759,4720826,50.501
731218,4721104,50.618
729137,4718639,50.93
730820,4721379,51.57
730410,4720450,52.958
729759,4718740,53.183
729784,4720655,53.489
731106,4721604,55.233
731164,4721418,55.442
729653,4719227,55.588
731198,4721408,55.699
731904,4720772,56.096
731775,4722450,56.71
728902,4718594,57.068
731814,4720733,57.34
729285,4719235,57.486
730815,4720748,57.91
730412,4720704,58.355
729813,4720777,58.466
729805,4718340,58.981
729199,4719273,59.509
731191,4722438,59.628
730092,4721132,60.635
730535,4720844,61.102
730374,4721238,61.177
728835,4718555,61.225
730744,4720506,61.31
731132,4721017,61.628
730041,4720307,61.649
730148,4720743,61.671
731471,4722338,62.519
728679,4718411,63.103
730725,4720336,63.291
729110,4718433,63.844
730531,4720809,63.94
729125,4718672,64.546
730375,4720354,64.911
729164,4719514,65.029
729039,4718916,65.131
730783,4720655,66.002
729255,4718801,66.902
731526,4720976,67.101
730064,4719678,67.135
731174,4720888,67.233
728673,4718257,68.913
730002,4719600,70.285
730706,4720900,71.911
730422,4719663,73.351
728800,4718374,75.054
729664,4719010,75.86
729583,4720307,76.792
729023,4718762,76.844
729256,4718555,77.471
730661,4719192,77.471
729255,4718899,77.772
731350,4721550,77.963
730746,4721097,78.752
731464,4720251,78.766
731207,4720997,81.242
729189,4718866,84.203
730141,4720903,85.781
729761,4719589,86.537
729013,4718463,86.543
729723,4719666,87.761
730869,4721164,87.771
729950,4721064,87.804
730859,4721419,88.168
731495,4721946,89.354
730851,4721283,89.368
728927,4718494,89.966
730785,4720186,90.078
731175,4722575,91.902
729091,4719462,93.053
731254,4722418,94.422
729712,4718282,94.992
731600,4722500,95.135
729596,4720338,100.513
729920,4721069,100.808
729920,4719730,105.074
