x,y,CO2flux
515121,4049121,0.71
515195,4049085,8.98
515233,4049072,2.97
515267,4049062,84.16
515301,4049043,1.84
515337,4049034,2.4
515374,4049010,1.06
515408,4048973,2.4
515445,4048950,4.67
515489,4048925,3.89
515527,4048907,4.1
515567,4048897,9.76
515604,4048901,10.54
515631,4048848,13.3
515666,4048822,22.98
515700,4048803,25.32
515742,4048787,24.12
515786,4048764,15.35
515829,4048766,5.23
515866,4048746,8.91
515899,4048767,5.66
515934,4048761,3.32
515914,4048728,4.17
515950,4048731,1.84
515931,4048701,5.37
515976,4048709,2.33
515957,4048670,14.99
516003,4048719,4.17
515977,4048744,3.25
515939,4048785,5.37
515885,4048794,7.85
515862,4048813,11.53
515818,4048818,2.62
515778,4048826,8.34
515730,4048829,28.01
515696,4048851,32.6
515663,4048885,11.81
515633,4048905,8.27
515615,4048928,12.66
515566,4048953,4.67
515526,4048966,3.04
515518,4049009,4.24
515470,4049026,1.91
515424,4049040,2.19
515389,4049055,1.2
515351,4049074,1.2
515321,4049087,0.57
515281,4049099,7.85
515244,4049123,53.39
515208,4049142,9.48
515166,4049150,6.22
515124,4049155,0.21
515096,4049182,0.99
515113,4049217,0.35
515146,4049195,0.64
515184,4049178,0.71
515229,4049161,0.07
515261,4049140,84.79
515299,4049132,3.47
515334,4049107,2.05
515371,4049094,1.56
515410,4049071,2.9
515453,4049057,3.32
515497,4049040,3.54
515539,4049020,2.69
515579,4048994,5.3
515610,4048974,5.87
515623,4048959,19.8
515650,4048939,6.86
515687,4048912,16.34
515716,4048880,21.92
515754,4048852,25.39
515803,4048843,15.42
515847,4048836,12.38
515896,4048831,22.28
515878,4048855,22.49
515882,4048900,23.05
515894,4048940,66.48
515900,4048982,60.11
515901,4049052,43.85
515847,4049013,33.52
515856,4049048,26.94
515840,4048973,36.7
515831,4048932,34.51
515828,4048894,36.77
515821,4048866,24.82
515783,4048866,20.23
515791,4048905,31.19
515799,4048946,36.99
515806,4048988,39.74
515816,4049029,33.59
515822,4049067,17.04
515785,4049077,17.82
515781,4049034,16.48
515768,4048996,29.77
515757,4048951,44.84
515749,4048907,25.46
515718,4048946,30.62
515730,4048984,11.81
515743,4049027,5.94
515750,4049066,3.75
515757,4049111,4.46
515719,4049116,4.46
515713,4049074,3.39
515714,4049027,5.09
515707,4049012,5.23
515684,4048975,5.73
515681,4049006,6.58
515692,4049031,2.97
515697,4049067,1.49
515698,4049109,2.48
515678,4049132,1.63
515664,4049132,4.81
515665,4049089,13.79
515660,4049050,4.17
515649,4049008,10.04
515631,4048980,42.01
515617,4049006,1.98
515629,4049045,5.8
515643,4049088,6.01
515644,4049125,4.81
515634,4049165,3.96
515621,4049159,8.98
515615,4049117,4.88
515605,4049077,3.89
515586,4049037,4.67
515551,4049066,4.1
515574,4049105,2.76
515592,4049150,3.25
515610,4049187,5.52
515608,4049231,2.9
515572,4049232,5.45
515575,4049194,4.6
515555,4049149,4.95
515529,4049115,4.1
515506,4049081,3.47
515463,4049091,1.91
515485,4049126,2.4
515514,4049160,5.16
515535,4049200,2.97
515501,4049234,3.39
515479,4049197,3.04
515447,4049160,2.19
515415,4049128,1.91
515380,4049147,1.84
515415,4049182,2.55
515448,4049212,2.55
515469,4049245,3.82
515422,4049255,2.12
515386,4049276,1.84
515377,4049229,2.97
515404,4049206,2.76
515374,4049184,2.97
515346,4049137,1.98
515181,4049218,0.21
515218,4049217,0.21
515213,4049175,1.2
515232,4049201,0.35
515261,4049235,0.92
515266,4049190,1.2
515290,4049162,0.35
515298,4049206,1.91
515335,4049212,0.57
515332,4049252,2.05
515334,4049189,1.56
515316,4049163,2.9
515132,4048418,7
515164,4048386,14.5
515196,4048351,17.18
515230,4048317,21.92
515262,4048287,8.98
515295,4048254,49.43
515337,4048235,32.04
515350,4048188,104.52
515367,4048152,91.72
515362,4048110,2.9
515368,4048065,14.36
515381,4048024,2.69
515395,4047994,7.57
515430,4047984,2.48
515461,4047954,141.72
515495,4047933,51.2
515520,4047912,57.64
515552,4047876,2.33
515590,4047850,3.04
515617,4047824,1.77
515657,4047860,3.82
515694,4047896,7.92
515699,4047935,3.75
515726,4047962,2.05
515697,4047981,3.47
515668,4047951,8.27
515649,4047924,33.8
515624,4047886,22.42
515536,4047804,1.34
515500,4047766,4.6
515452,4047733,1.56
515415,4047767,47.81
515458,4047797,10.4
515500,4047843,4.74
515480,4047889,31.75
515422,4047838,26.52
515384,4047813,124.11
515350,4047782,9.76
515308,4047825,52.05
515336,4047840,23.05
515370,4047866,19.59
515411,4047887,54.38
515435,4047913,35.15
515451,4047862,36.49
515402,4047944,4.74
515365,4047910,18.32
515328,4047889,4.74
515289,4047870,34.3
515269,4047905,19.45
515304,4047918,28.15
515341,4047939,2.05
515368,4047964,3.32
515339,4047987,22.21
515320,4048011,468.31
515292,4048035,10.04
515258,4048050,1.77
515205,4048065,0.42
515223,4048021,1.91
515259,4047992,1.06
515285,4047977,78.57
515302,4047954,19.94
515273,4047938,225.74
515248,4047961,1.98
515216,4047985,0.99
515173,4048006,1.34
515152,4047978,0.57
515190,4047951,3.61
515223,4047919,4.31
515106,4048386,11.46
515138,4048348,3.75
515166,4048311,4.38
515195,4048279,6.93
515226,4048237,28.01
515268,4048209,17.89
